Year,Var1_Average_Bread_Price,Var2_MeanTemp,Var2_MinTemp,Var2_MaxTemp
1749,31.2,-0.5,-0.99,-0.1
1750,31.2,-0.3,-0.58,-0.03
1751,25.5,-0.08,-0.43,0.49
1752,24.6,0,-0.35,0.22
1753,18.9,0.02,-0.09,0.16
1754,21.7,0.07,-0.18,0.2
1755,18.9,0,-0.26,0.23
1756,25.5,0.26,-0.23,0.74
1757,25.5,0.76,0.55,0.94
1758,23.6,-0.93,-1.36,-0.51
1759,23.6,0.27,0.2,0.38
1760,19.8,-0.11,-0.21,-0.02
1761,21,0.34,0.03,0.47
1762,20.9,0.15,-0.1,0.38
1763,25.5,0.42,0.19,0.75
1764,23.6,0.05,-0.27,0.36
1765,18.9,-0.49,-1.1,-0.1
1766,18.9,0.05,-0.3,0.31
1767,35.8,-0.2,-0.5,-0.04
1768,24.6,-0.06,-0.41,0.34
1769,34,-0.55,-0.72,-0.27
1770,31,-0.97,-1.18,-0.88
1771,31,-0.69,-0.87,-0.41
1772,29.3,0.59,0.36,0.74
1773,29.3,-1.15,-1.55,-0.81
1774,29.3,0.41,0.21,0.72
1775,30.2,0.33,-0.01,0.53
1776,30.3,-0.06,-0.25,0.14
1777,29.3,-0.49,-0.74,-0.35
1778,30.2,0.42,0.33,0.57
1779,27.4,-0.87,-1.52,-0.35
1780,29.5,0.63,0.18,0.86
1781,29.3,0.63,0.48,0.74
1782,27.4,1.18,0.54,2.02
1783,22.3,0.24,-0.01,0.42
1784,31.2,0.22,-0.45,1.27
1785,33.1,-0.72,-1.1,-0.16
1786,30.2,-0.79,-1.04,-0.56
1787,33.1,0.45,-0.01,0.83
1788,40.6,0.77,0.51,1.44
1789,37.8,-0.73,-1.01,-0.33
1790,29.3,0.24,-0.02,0.55
1791,29.3,0.57,0.48,0.66
1792,35.9,0.39,0.06,0.81
1793,51,1.07,0.9,1.27
1794,51,0.98,0.4,1.32
1795,56.7,-0.32,-0.71,-0.06
1796,33.1,0.24,-0.1,0.61
1797,29.3,0.56,0.13,1.05
1798,31.1,0.74,0.49,0.89
1799,51,-0.42,-0.57,-0.25
1800,40.6,-0.03,-0.26,0.42
1801,37.7,-0.33,-0.59,-0.09
1802,37.7,1.47,1.33,1.61
1803,35,0.9,0.15,1.53
1804,40.6,0.5,0.2,0.7
1805,45.3,-1.02,-1.25,-0.78
1806,35.9,-0.03,-0.4,0.26
1807,30.2,1.89,1.55,2.09
1808,27.9,0.33,0.05,0.73
1809,29.8,-0.31,-0.6,-0.14
1810,37.9,-0.94,-1.38,-0.56
1811,48.7,0.93,0.49,1.76
1812,42.5,-0.87,-0.99,-0.64
1813,35.4,-2.09,-2.4,-1.82
1814,35.9,-0.96,-1.29,-0.72
1815,57.7,-1.52,-1.96,-1.01
1816,89.8,-2.78,-3.2,-2.24
1817,42.5,-0.57,-0.72,-0.48
1818,33.1,-0.09,-0.96,0.61
1819,27.5,-0.36,-0.84,0.18
1820,31,-0.16,-0.45,0.24
1821,25.5,-1.68,-1.85,-1.26
1822,26.4,1.54,1.28,1.74
1823,31,-0.8,-1.39,-0.1
1824,29.3,-0.42,-0.62,-0.22
1825,22.7,0.09,-0.45,0.51
1826,25.5,0.95,0.34,1.31
1827,31.2,0.3,0.17,0.47
1828,33.1,0.32,-0.15,0.97
1829,33.1,-0.9,-1.09,-0.58
1830,38.5,0.3,-0.05,0.93
1831,42.5,-0.33,-0.63,-0.04
1832,31,0.16,-0.28,0.66
1833,28.3,-0.84,-0.96,-0.59
1834,27.5,1.36,0.82,1.92
1835,28.3,0.37,-0.06,0.69
1836,28.4,0.6,0.46,0.73
1837,31,0.95,0.67,1.31
1838,37,-0.66,-0.8,-0.51
1839,36,0.75,0.63,0.97
1840,31,-0.13,-0.7,0.24
1841,34,-0.98,-1.25,-0.63
1842,36,1.23,0.97,1.51
1843,40,-1.41,-1.71,-1.08
1844,37,-0.3,-0.68,0.03
1845,48,-0.55,-0.79,-0.26
1846,44,2.13,1.84,2.48
1847,34,-0.32,-0.6,-0.1
1848,29,0.56,0.23,0.92
1849,30,0.52,0.13,0.95
